yearday,skagit,snohomish,stillaguamish,columbia,puyallup,green,nisqually,deschutes,skagit_south,skokomish,duckabush,fraser,dosewallips,hamma,cedar,nooksack,samish
131,11.13,11.13,11.13,12.775,11.13,11.13,11.13,11.13,11.13,11.13,11.13,11.13,11.13,11.13,11.13,11.13,11.13
132,11.07,11.07,11.07,12.878,11.07,11.07,11.07,11.07,11.07,11.07,11.07,11.07,11.07,11.07,11.07,11.07,11.07
133,11.13,11.13,11.13,12.978,11.13,11.13,11.13,11.13,11.13,11.13,11.13,11.13,11.13,11.13,11.13,11.13,11.13
134,11.43,11.43,11.43,13.067,11.43,11.43,11.43,11.43,11.43,11.43,11.43,11.43,11.43,11.43,11.43,11.43,11.43
135,11.51,11.51,11.51,13.167,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51
136,11.45,11.45,11.45,13.178,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45
137,11.509,11.509,11.509,13.289,11.509,11.509,11.509,11.509,11.509,11.509,11.509,11.509,11.509,11.509,11.509,11.509,11.509
138,11.509,11.509,11.509,13.378,11.509,11.509,11.509,11.509,11.509,11.509,11.509,11.509,11.509,11.509,11.509,11.509,11.509
139,11.536,11.536,11.536,13.467,11.536,11.536,11.536,11.536,11.536,11.536,11.536,11.536,11.536,11.536,11.536,11.536,11.536
140,11.57,11.57,11.57,13.589,11.57,11.57,11.57,11.57,11.57,11.57,11.57,11.57,11.57,11.57,11.57,11.57,11.57
141,11.71,11.71,11.71,13.767,11.71,11.71,11.71,11.71,11.71,11.71,11.71,11.71,11.71,11.71,11.71,11.71,11.71
142,11.98,11.98,11.98,14.044,11.98,11.98,11.98,11.98,11.98,11.98,11.98,11.98,11.98,11.98,11.98,11.98,11.98
143,12.26,12.26,12.26,14.289,12.26,12.26,12.26,12.26,12.26,12.26,12.26,12.26,12.26,12.26,12.26,12.26,12.26
144,12.409,12.409,12.409,14.444,12.409,12.409,12.409,12.409,12.409,12.409,12.409,12.409,12.409,12.409,12.409,12.409,12.409
145,12.318,12.318,12.318,14.633,12.318,12.318,12.318,12.318,12.318,12.318,12.318,12.318,12.318,12.318,12.318,12.318,12.318
146,12.327,12.327,12.327,14.8,12.327,12.327,12.327,12.327,12.327,12.327,12.327,12.327,12.327,12.327,12.327,12.327,12.327
147,12.23,12.23,12.23,14.867,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23
148,12.23,12.23,12.23,14.844,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23
149,12.3,12.3,12.3,14.833,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3
150,12.68,12.68,12.68,14.889,12.68,12.68,12.68,12.68,12.68,12.68,12.68,12.68,12.68,12.68,12.68,12.68,12.68
151,12.61,12.61,12.61,15.011,12.61,12.61,12.61,12.61,12.61,12.61,12.61,12.61,12.61,12.61,12.61,12.61,12.61
152,12.62,12.62,12.62,15.056,12.62,12.62,12.62,12.62,12.62,12.62,12.62,12.62,12.62,12.62,12.62,12.62,12.62
153,12.87,12.87,12.87,15.133,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87
154,12.98,12.98,12.98,15.267,12.98,12.98,12.98,12.98,12.98,12.98,12.98,12.98,12.98,12.98,12.98,12.98,12.98
155,12.93,12.93,12.93,15.444,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93
156,12.8,12.8,12.8,15.644,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8
157,12.72,12.72,12.72,15.733,12.72,12.72,12.72,12.72,12.72,12.72,12.72,12.72,12.72,12.72,12.72,12.72,12.72
158,12.6,12.6,12.6,15.767,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6
159,12.636,12.636,12.636,15.8,12.636,12.636,12.636,12.636,12.636,12.636,12.636,12.636,12.636,12.636,12.636,12.636,12.636
160,12.455,12.455,12.455,15.912,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455
161,12.391,12.391,12.391,15.9,12.391,12.391,12.391,12.391,12.391,12.391,12.391,12.391,12.391,12.391,12.391,12.391,12.391
162,12.427,12.427,12.427,15.911,12.427,12.427,12.427,12.427,12.427,12.427,12.427,12.427,12.427,12.427,12.427,12.427,12.427
163,12.709,12.709,12.709,16.056,12.709,12.709,12.709,12.709,12.709,12.709,12.709,12.709,12.709,12.709,12.709,12.709,12.709
164,12.5,12.5,12.5,16.111,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
165,12.673,12.673,12.673,16.156,12.673,12.673,12.673,12.673,12.673,12.673,12.673,12.673,12.673,12.673,12.673,12.673,12.673
166,12.836,12.836,12.836,16.278,12.836,12.836,12.836,12.836,12.836,12.836,12.836,12.836,12.836,12.836,12.836,12.836,12.836
167,12.991,12.991,12.991,16.389,12.991,12.991,12.991,12.991,12.991,12.991,12.991,12.991,12.991,12.991,12.991,12.991,12.991
168,13.064,13.064,13.064,16.544,13.064,13.064,13.064,13.064,13.064,13.064,13.064,13.064,13.064,13.064,13.064,13.064,13.064
169,13.127,13.127,13.127,16.6,13.127,13.127,13.127,13.127,13.127,13.127,13.127,13.127,13.127,13.127,13.127,13.127,13.127
170,13.536,13.536,13.536,16.778,13.536,13.536,13.536,13.536,13.536,13.536,13.536,13.536,13.536,13.536,13.536,13.536,13.536
171,13.8,13.8,13.8,17.033,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8
172,13.536,13.536,13.536,17.189,13.536,13.536,13.536,13.536,13.536,13.536,13.536,13.536,13.536,13.536,13.536,13.536,13.536
173,13.518,13.518,13.518,17.278,13.518,13.518,13.518,13.518,13.518,13.518,13.518,13.518,13.518,13.518,13.518,13.518,13.518
174,13.591,13.591,13.591,17.356,13.591,13.591,13.591,13.591,13.591,13.591,13.591,13.591,13.591,13.591,13.591,13.591,13.591
175,13.625,13.625,13.625,17.433,13.625,13.625,13.625,13.625,13.625,13.625,13.625,13.625,13.625,13.625,13.625,13.625,13.625
176,13.983,13.983,13.983,17.633,13.983,13.983,13.983,13.983,13.983,13.983,13.983,13.983,13.983,13.983,13.983,13.983,13.983
