yearday,skagit,snohomish,stillaguamish,columbia,puyallup,green,nisqually,deschutes,skagit_south,skokomish,duckabush,fraser,dosewallips,hamma,cedar,nooksack,samish
49,369.68,184.53,49.229,6114.1,74.898,35.776,35.887,8.4007,0,39.988,10.222,812.08,10.222,10.222,18.203,78.508,7.5559
50,381.45,200.81,56.058,6276.9,77.895,37.369,36.458,9.7575,0,40.845,8.5776,806.25,8.5776,8.5776,19.347,85.729,8.4172
51,383.27,210.54,58.34,6180.2,75.866,40.772,37.765,9.9321,0,49.47,9.9416,798.25,9.9416,9.9416,19.753,84.077,9.446
52,445.16,285.17,114.34,5989,78.107,47.851,38.195,10.569,0,76.326,13.521,833.25,13.521,13.521,21.467,121.15,12.233
53,481.32,288.76,75.818,5868.7,80.16,48.257,37.44,10.154,0,54.031,11.02,812,11.02,11.02,21.16,136.72,13.358
54,437.68,254.43,60.574,6102.3,81.765,45.784,40.932,13.509,0,71.458,14.142,793.75,14.142,14.142,21.313,110.48,11.143
55,430.53,243.6,58.673,6298.1,76.715,39.403,38.06,12.134,0,61.957,11.414,785.58,11.414,11.414,21.127,102.53,10.904
56,401.46,213.53,49.498,6489.3,69.541,37.289,35.656,8.9788,0,41.935,9.0732,770.83,9.0732,9.0732,21.011,88.278,9.4389
57,377.68,193.33,47.28,6444.4,71.901,36.361,35.254,9.3469,0,40.156,9.1463,762.92,9.1463,9.1463,21.271,81.6,8.6107
58,375.53,200.79,51.917,6633.2,83.865,37.239,41.472,11.671,0,42.935,9.0354,767.25,9.0354,9.0354,22.401,83.723,8.0963
59,369.35,206.34,52.669,6444.4,84.077,36.833,45.543,10.069,0,39.552,9.1062,764,9.1062,9.1062,21.948,85.422,8.3794
60,373.15,204.8,59.503,6404.3,83.252,38.207,44.774,10.968,0,38.575,11.176,762.42,11.176,11.176,21.188,91.676,9.0708
61,377.32,197.56,52.839,6430.3,80.019,37.626,39.969,11.112,0,38.228,9.6749,759.42,9.6749,9.6749,21.285,90.095,8.8632
62,363.54,186.21,48.516,6234.4,76.809,35.441,38.572,9.9085,0,33.954,8.1906,759.42,8.1906,8.1906,20.737,82.378,8.219
63,350.89,190.6,52.419,6253.3,77.871,34.7,34.96,9.0307,0,30.641,7.4521,762,7.4521,7.4521,21.231,82.19,9.3918
64,351.13,191.23,48.094,6352.4,79.193,34.372,34.339,8.6886,0,28.947,7.4237,758.58,7.4237,7.4237,21.526,79.618,8.4502
